Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2018-05-23,219.9981231689453,221.11496132234848,217.63836708339886,219.79097247078195,3047800
2018-05-24,218.6201171875,221.06094442679012,218.14276211281373,220.27736416139277,2610400
2018-05-25,220.61962890625,221.1870567290174,218.3589468750031,218.8182847000456,1554900
2018-05-29,218.11575317382812,219.6378911684602,216.3774626783873,219.6378911684602,2837800
2018-05-30,220.610595703125,221.34013780379593,218.53004564027424,219.52979208201387,2071900
2018-05-31,217.52127075195312,220.43945272432035,216.77371140814157,219.9530959338406,2966100
2018-06-01,219.17852783203125,219.529789348097,217.32313204281965,219.529789348097,2371400
2018-06-04,220.3314208984375,220.88083143085382,218.62915117392882,219.7639930758794,2188900
2018-06-05,220.15130615234375,220.76377041399508,217.88162203225585,220.7457531213433,1531900
2018-06-06,223.95205688476562,224.01511051292022,220.7817017704527,221.85350350378303,2650300
2018-06-07,224.24937438964844,225.16806393860497,223.59188749103473,224.95189764968345,2117200
2018-06-08,225.7804718017578,226.51902950860466,223.429730851986,224.68166450113398,3034600
2018-06-11,228.57252502441406,229.66234412448287,225.5282494535438,225.92454730811426,2775200
2018-06-12,228.39242553710938,228.71666803257165,225.3211304749756,228.05016575213108,2567200
2018-06-13,227.75291442871094,231.2295224918006,227.40165291357275,228.89677166751005,3138300
2018-06-14,229.9685821533203,230.5630289684334,228.464461570714,229.1940036878237,2456600
2018-06-15,231.3695526123047,231.3695526123047,228.27836009925375,229.82396325166806,4772200
2018-06-18,230.3662567138672,230.49279626718226,227.89872852833534,229.57990476053635,1961900
2018-06-19,228.69412231445312,228.94720141491612,227.01294612321948,228.6489266625612,2370200
2018-06-20,228.50433349609375,229.33588118187603,227.66375219556036,228.96530989218596,2580400
2018-06-21,227.6728057861328,229.26359100392813,226.79606236611386,228.63089312138337,2150300
2018-06-22,229.91433715820312,230.58319699120293,227.04007556188805,227.98912914640286,2604000
2018-06-25,226.6062469482422,230.60129768319715,224.70813961729235,229.9053231562784,3060800
2018-06-26,225.75660705566406,228.19702079498114,225.54870979430066,226.47064877734152,2158000
2018-06-27,224.3104248046875,227.5552715208136,224.27427655522956,226.22659923684614,2481000
2018-06-28,221.35482788085938,224.156793313996,218.9415285755972,223.3704412346912,3556900
2018-06-29,221.7525177001953,223.70485428397322,221.08367160907443,221.35481797478369,2772600
2018-07-02,223.686767578125,223.91273207165963,220.64980423334814,221.44520366395912,1793300
2018-07-03,223.23480224609375,224.83463446154752,223.01788519435488,224.42790119776123,1248000
2018-07-05,226.41639709472656,226.80504935990623,223.7771337616495,225.16003520343685,2182900
2018-07-06,226.6514129638672,227.52815627246957,225.4402466295138,226.877377449759,1572300
2018-07-09,229.28164672851562,229.58895512444704,226.91354329008954,227.8897115404993,2039600
2018-07-10,230.9718780517578,232.201125540908,229.35397822448812,229.74263056260762,2012200
2018-07-11,230.11318969726562,231.38763270303946,229.3449187231229,230.61031432275658,1486000
2018-07-12,231.4328155517578,232.1288038221854,230.41146545334084,231.55032149785885,1592700
2018-07-13,233.82809448242188,234.10828827832387,231.40573388365078,231.740184540799,2356200
2018-07-16,232.27342224121094,233.6020945100032,231.7853312325481,233.45747393026775,3625400
2018-07-17,226.22662353515625,228.242236901315,222.5931241320389,227.36549349618102,6932300
2018-07-18,230.8633575439453,231.93893674049494,226.36214956314456,226.96773263392942,3359800
2018-07-19,228.61276245117188,231.83954163906657,227.6366080968233,230.77299598179334,2307600
2018-07-20,228.4049072265625,229.1731920210228,227.0220056299565,227.0220056299565,1959600
2018-07-23,228.44107055664062,230.69166809740705,228.1608629980825,228.5947247580432,1479600
2018-07-24,229.36302185058594,230.44766258206602,227.78127020758726,230.35727125718276,2476500
2018-07-25,230.3572540283203,230.72783912413325,228.4681940888526,230.31205836925895,3016900
2018-07-26,232.29150390625,233.07785594579312,231.20687707438196,231.61361041236017,2021300
2018-07-27,231.34246826171875,233.00557757791907,230.83630995357152,233.00557757791907,1656800
2018-07-30,229.43528747558594,232.19207063813622,228.7754750661147,231.30627996046016,1681500
2018-07-31,228.87490844726562,230.66454330502515,228.54048542316013,229.70645609624256,2355900
2018-08-01,229.010498046875,231.478040327733,228.50433977134884,231.478040327733,3006700
2018-08-02,231.45994567871094,231.6587955430631,227.9801006361056,229.12800416363325,1854400
2018-08-03,232.4903564453125,232.7976648560549,229.85109273371933,231.79439571365094,1422300
2018-08-06,232.07456970214844,232.77957778046544,230.90858525523976,231.8395578148578,1398100
2018-08-07,232.8789825439453,233.95457565221,232.40898636577117,232.86996272175722,1462800
2018-08-08,233.92745971679688,234.5511238713472,233.1230405332873,233.2947481565547,1494300
2018-08-09,236.44020080566406,237.7327110703747,234.37940575707475,234.92172605061003,2315000
2018-08-10,235.3284454345703,236.3588567499926,234.19862298356654,235.44595138284365,1625000
2018-08-13,235.82557678222656,237.3078894499864,235.27420909924305,235.90692068622968,1635100
2018-08-14,238.1485137939453,238.88965638429195,235.77136286030156,235.80752490339748,1941600
2018-08-15,235.55442810058594,237.43446825091493,234.2709651440026,236.79273677262327,2017700
2018-08-16,237.80499267578125,238.39249472901935,236.3136328226227,236.422091345245,2115900
2018-08-17,237.1090545654297,238.73601549883657,236.55771443120562,238.2117624174346,1969700
2018-08-20,237.17230224609375,238.15750402547837,236.42211234229657,237.7146224909206,1786200
2018-08-21,236.5305633544922,237.28075323443846,235.66286754048812,236.67518392075164,1559300
2018-08-22,235.67190551757812,236.7655934622532,235.22902396298284,236.7655934622532,2148500
2018-08-23,236.2865447998047,237.3169284642973,234.6053547591901,235.92497957228045,1603500
2018-08-24,238.87155151367188,239.32348043870783,236.58479225633195,236.58479225633195,2238600
2018-08-27,241.40235900878906,241.7368096064267,238.9981212363114,239.52234668852608,2614000
